fpid,name,team,pos,bye,ecr,adp,ecr_vs_adp,rank_std,fp_tier
27016,Luther Burden III,CHI,WR,10,57,55.1,-1.9,7.90,6
19275,Jalen Hurts,PHI,QB,10,58,68.8,10.8,11.16,6
12119,Mike Evans,SF,WR,8,59,57.9,-1.1,10.07,6
18239,David Montgomery,HOU,RB,8,60,60.6,0.6,7.88,6
25298,Tucker Kraft,GB,TE,11,61,91.9,30.9,13.73,6
23065,TreVeyon Henderson,NE,RB,11,62,55.7,-6.3,9.09,6
17265,DJ Moore,BUF,WR,7,63,46.7,-16.3,11.54,6
27297,Bhayshul Tuten,JAC,RB,7,64,50.1,-13.9,10.14,6
26434,Tyler Warren,IND,TE,13,65,81.9,16.9,11.41,6
27329,Jadarian Price,SEA,RB,11,66,53.1,-12.9,11.06,6
23084,Caleb Williams,CHI,QB,10,67,105.9,38.9,11.24,6
18635,Justin Herbert,LAC,QB,7,68,100.6,32.6,13.12,6
23064,Marvin Harrison Jr.,ARI,WR,14,69,63.9,-5.1,9.17,7
24209,Jaylen Warren,PIT,RB,9,70,79.4,9.4,7.77,7
23000,Brian Thomas Jr.,JAC,WR,7,71,67.7,-3.3,9.02,7
18705,Tony Pollard,TEN,RB,9,72,62.8,-9.2,9.72,7
18219,DK Metcalf,PIT,WR,9,73,63.2,-9.8,10.29,7
26009,Carnell Tate,TEN,WR,9,74,74.4,0.4,21.97,7
22978,Sam LaPorta,DET,TE,6,75,106.9,31.9,7.06,7
19780,Trevor Lawrence,JAC,QB,7,76,89.2,13.2,11.67,7
15600,Dak Prescott,DAL,QB,14,77,62.5,-14.5,11.51,7
23791,Alec Pierce,IND,WR,13,78,44.6,-33.4,12.97,7
23106,Parker Washington,JAC,WR,7,79,65.8,-13.2,15.29,7
22726,Rhamondre Stevenson,NE,RB,11,80,69.7,-10.3,8.67,7
19647,Rico Dowdle,PIT,RB,9,81,66.8,-14.2,10.34,7
19792,Chuba Hubbard,CAR,RB,5,82,82.0,0.0,10.99,7
17253,Courtland Sutton,DEN,WR,10,83,51.4,-31.6,11.90,7
19245,J.K. Dobbins,DEN,RB,10,84,75.1,-8.9,12.79,7
27050,Harold Fannin Jr.,CLE,TE,11,85,103.4,18.4,11.11,7
20164,Kyle Pitts Sr.,ATL,TE,11,86,95.2,9.2,7.27,7
23013,Blake Corum,LAR,RB,11,87,110.0,23.0,12.33,7
23160,Jaxson Dart,NYG,QB,8,88,98.3,10.3,13.64,7
23123,Quentin Johnston,LAC,WR,7,89,73.0,-16.0,10.57,7
27131,Kyle Monangai,CHI,RB,10,90,92.5,2.5,12.37,7
26035,Jordyn Tyson,NO,WR,8,91,82.1,-8.9,21.62,7
19797,Brock Purdy,SF,QB,8,92,71.9,-20.1,9.87,7
16406,Chris Godwin Jr.,TB,WR,10,93,87.8,-5.2,12.14,7
23107,Jordan Addison,MIN,WR,6,94,79.2,-14.8,11.86,8
27316,Jacory Croskey-Merritt,WAS,RB,7,95,95.1,0.1,11.88,8
27142,RJ Harvey,DEN,RB,10,96,98.4,2.4,18.05,8
16499,George Kittle,SF,TE,8,97,127.5,30.5,20.85,8
22910,Bo Nix,DEN,QB,10,98,122.8,24.8,8.65,8
25333,Michael Wilson,ARI,WR,14,99,87.3,-11.7,13.90,8
16413,Patrick Mahomes II,KC,QB,5,100,94.9,-5.1,9.69,8
25247,Dalton Kincaid,BUF,TE,7,101,148.5,47.5,13.98,8
